================ Training Loss (Wed Nov  6 23:55:44 2024) ================
(epoch: 84, iters: 96, time: 0.067, data: 0.000) D_A: 0.279 G_A: 0.012 cycle_A: 0.036 idt_A: 0.000 D_B: 0.008 G_B: 0.502 cycle_B: 1.303 idt_B: 0.000 
(epoch: 87, iters: 32, time: 0.083, data: 0.000) D_A: 0.269 G_A: 0.013 cycle_A: 0.040 idt_A: 0.000 D_B: 0.008 G_B: 0.466 cycle_B: 1.249 idt_B: 0.000 
(epoch: 89, iters: 256, time: 0.067, data: 0.000) D_A: 0.275 G_A: 0.012 cycle_A: 0.035 idt_A: 0.000 D_B: 0.008 G_B: 0.485 cycle_B: 1.283 idt_B: 0.000 
(epoch: 92, iters: 192, time: 0.067, data: 0.001) D_A: 0.283 G_A: 0.012 cycle_A: 0.033 idt_A: 0.000 D_B: 0.008 G_B: 0.445 cycle_B: 1.249 idt_B: 0.000 
(epoch: 95, iters: 128, time: 0.339, data: 0.000) D_A: 0.279 G_A: 0.012 cycle_A: 0.032 idt_A: 0.000 D_B: 0.008 G_B: 0.440 cycle_B: 1.250 idt_B: 0.000 
(epoch: 98, iters: 64, time: 0.067, data: 0.000) D_A: 0.275 G_A: 0.012 cycle_A: 0.037 idt_A: 0.000 D_B: 0.008 G_B: 0.444 cycle_B: 1.257 idt_B: 0.000 
(epoch: 100, iters: 288, time: 0.314, data: 0.001) D_A: 0.281 G_A: 0.012 cycle_A: 0.034 idt_A: 0.000 D_B: 0.008 G_B: 0.426 cycle_B: 1.293 idt_B: 0.000 
(epoch: 103, iters: 224, time: 0.067, data: 29.998) D_A: 0.275 G_A: 0.012 cycle_A: 0.036 idt_A: 0.000 D_B: 0.008 G_B: 0.431 cycle_B: 1.239 idt_B: 0.000 
(epoch: 106, iters: 160, time: 0.067, data: 0.001) D_A: 0.281 G_A: 0.013 cycle_A: 0.039 idt_A: 0.000 D_B: 0.008 G_B: 0.424 cycle_B: 1.252 idt_B: 0.000 
(epoch: 109, iters: 96, time: 0.068, data: 0.000) D_A: 0.268 G_A: 0.012 cycle_A: 0.034 idt_A: 0.000 D_B: 0.008 G_B: 0.406 cycle_B: 1.249 idt_B: 0.000 
(epoch: 112, iters: 32, time: 0.078, data: 0.001) D_A: 0.254 G_A: 0.012 cycle_A: 0.035 idt_A: 0.000 D_B: 0.008 G_B: 0.419 cycle_B: 1.243 idt_B: 0.000 
(epoch: 114, iters: 256, time: 0.067, data: 0.000) D_A: 0.269 G_A: 0.013 cycle_A: 0.038 idt_A: 0.000 D_B: 0.008 G_B: 0.427 cycle_B: 1.244 idt_B: 0.000 
(epoch: 117, iters: 192, time: 0.067, data: 0.000) D_A: 0.266 G_A: 0.012 cycle_A: 0.040 idt_A: 0.000 D_B: 0.008 G_B: 0.378 cycle_B: 1.243 idt_B: 0.000 
(epoch: 120, iters: 128, time: 0.334, data: 0.001) D_A: 0.267 G_A: 0.012 cycle_A: 0.031 idt_A: 0.000 D_B: 0.008 G_B: 0.389 cycle_B: 1.239 idt_B: 0.000 
(epoch: 123, iters: 64, time: 0.068, data: 0.000) D_A: 0.264 G_A: 0.012 cycle_A: 0.031 idt_A: 0.000 D_B: 0.008 G_B: 0.386 cycle_B: 1.261 idt_B: 0.000 
(epoch: 125, iters: 288, time: 0.317, data: 0.001) D_A: 0.248 G_A: 0.012 cycle_A: 0.033 idt_A: 0.000 D_B: 0.009 G_B: 0.462 cycle_B: 1.241 idt_B: 0.000 
(epoch: 128, iters: 224, time: 0.068, data: 29.811) D_A: 0.269 G_A: 0.013 cycle_A: 0.041 idt_A: 0.000 D_B: 0.008 G_B: 0.364 cycle_B: 1.243 idt_B: 0.000 
(epoch: 131, iters: 160, time: 0.067, data: 0.000) D_A: 0.265 G_A: 0.012 cycle_A: 0.036 idt_A: 0.000 D_B: 0.008 G_B: 0.364 cycle_B: 1.240 idt_B: 0.000 
(epoch: 134, iters: 96, time: 0.067, data: 0.000) D_A: 0.255 G_A: 0.012 cycle_A: 0.029 idt_A: 0.000 D_B: 0.008 G_B: 0.395 cycle_B: 1.240 idt_B: 0.000 
(epoch: 137, iters: 32, time: 0.078, data: 0.001) D_A: 0.259 G_A: 0.012 cycle_A: 0.027 idt_A: 0.000 D_B: 0.008 G_B: 0.351 cycle_B: 1.249 idt_B: 0.000 
(epoch: 139, iters: 256, time: 0.067, data: 0.001) D_A: 0.262 G_A: 0.012 cycle_A: 0.026 idt_A: 0.000 D_B: 0.009 G_B: 0.351 cycle_B: 1.234 idt_B: 0.000 
(epoch: 142, iters: 192, time: 0.067, data: 0.000) D_A: 0.255 G_A: 0.012 cycle_A: 0.023 idt_A: 0.000 D_B: 0.008 G_B: 0.340 cycle_B: 1.241 idt_B: 0.000 
(epoch: 145, iters: 128, time: 0.333, data: 0.001) D_A: 0.262 G_A: 0.012 cycle_A: 0.025 idt_A: 0.000 D_B: 0.008 G_B: 0.336 cycle_B: 1.235 idt_B: 0.000 
(epoch: 148, iters: 64, time: 0.067, data: 0.000) D_A: 0.265 G_A: 0.012 cycle_A: 0.026 idt_A: 0.000 D_B: 0.008 G_B: 0.324 cycle_B: 1.238 idt_B: 0.000 
(epoch: 150, iters: 288, time: 0.320, data: 0.000) D_A: 0.274 G_A: 0.013 cycle_A: 0.039 idt_A: 0.000 D_B: 0.008 G_B: 0.325 cycle_B: 1.249 idt_B: 0.000 
(epoch: 153, iters: 224, time: 0.068, data: 29.646) D_A: 0.257 G_A: 0.012 cycle_A: 0.026 idt_A: 0.000 D_B: 0.008 G_B: 0.315 cycle_B: 1.231 idt_B: 0.000 
(epoch: 156, iters: 160, time: 0.067, data: 0.001) D_A: 0.254 G_A: 0.011 cycle_A: 0.027 idt_A: 0.000 D_B: 0.008 G_B: 0.332 cycle_B: 1.239 idt_B: 0.000 
(epoch: 159, iters: 96, time: 0.067, data: 0.001) D_A: 0.238 G_A: 0.012 cycle_A: 0.024 idt_A: 0.000 D_B: 0.008 G_B: 0.323 cycle_B: 1.235 idt_B: 0.000 
(epoch: 162, iters: 32, time: 0.077, data: 0.000) D_A: 0.254 G_A: 0.012 cycle_A: 0.025 idt_A: 0.000 D_B: 0.008 G_B: 0.315 cycle_B: 1.242 idt_B: 0.000 
(epoch: 164, iters: 256, time: 0.067, data: 0.000) D_A: 0.253 G_A: 0.010 cycle_A: 0.019 idt_A: 0.000 D_B: 0.008 G_B: 0.313 cycle_B: 1.241 idt_B: 0.000 
(epoch: 167, iters: 192, time: 0.067, data: 0.001) D_A: 0.228 G_A: 0.011 cycle_A: 0.018 idt_A: 0.000 D_B: 0.008 G_B: 0.305 cycle_B: 1.222 idt_B: 0.000 
(epoch: 170, iters: 128, time: 0.333, data: 0.001) D_A: 0.252 G_A: 0.011 cycle_A: 0.022 idt_A: 0.000 D_B: 0.008 G_B: 0.323 cycle_B: 1.247 idt_B: 0.000 
(epoch: 173, iters: 64, time: 0.068, data: 0.000) D_A: 0.233 G_A: 0.012 cycle_A: 0.024 idt_A: 0.000 D_B: 0.008 G_B: 0.306 cycle_B: 1.232 idt_B: 0.000 
(epoch: 175, iters: 288, time: 0.316, data: 0.000) D_A: 0.262 G_A: 0.014 cycle_A: 0.025 idt_A: 0.000 D_B: 0.008 G_B: 0.306 cycle_B: 1.216 idt_B: 0.000 
(epoch: 178, iters: 224, time: 0.067, data: 29.535) D_A: 0.255 G_A: 0.013 cycle_A: 0.022 idt_A: 0.000 D_B: 0.008 G_B: 0.296 cycle_B: 1.242 idt_B: 0.000 
(epoch: 181, iters: 160, time: 0.067, data: 0.000) D_A: 0.262 G_A: 0.013 cycle_A: 0.025 idt_A: 0.000 D_B: 0.009 G_B: 0.283 cycle_B: 1.230 idt_B: 0.000 
(epoch: 184, iters: 96, time: 0.067, data: 0.000) D_A: 0.258 G_A: 0.011 cycle_A: 0.024 idt_A: 0.000 D_B: 0.008 G_B: 0.288 cycle_B: 1.237 idt_B: 0.000 
(epoch: 187, iters: 32, time: 0.079, data: 0.000) D_A: 0.252 G_A: 0.010 cycle_A: 0.019 idt_A: 0.000 D_B: 0.008 G_B: 0.343 cycle_B: 1.240 idt_B: 0.000 
(epoch: 189, iters: 256, time: 0.067, data: 0.000) D_A: 0.259 G_A: 0.007 cycle_A: 0.017 idt_A: 0.000 D_B: 0.008 G_B: 0.287 cycle_B: 1.226 idt_B: 0.000 
(epoch: 192, iters: 192, time: 0.067, data: 0.000) D_A: 0.244 G_A: 0.007 cycle_A: 0.014 idt_A: 0.000 D_B: 0.008 G_B: 0.297 cycle_B: 1.251 idt_B: 0.000 
(epoch: 195, iters: 128, time: 0.334, data: 0.000) D_A: 0.253 G_A: 0.010 cycle_A: 0.015 idt_A: 0.000 D_B: 0.008 G_B: 0.282 cycle_B: 1.220 idt_B: 0.000 
(epoch: 198, iters: 64, time: 0.067, data: 0.000) D_A: 0.255 G_A: 0.010 cycle_A: 0.020 idt_A: 0.000 D_B: 0.008 G_B: 0.282 cycle_B: 1.218 idt_B: 0.000 
(epoch: 200, iters: 288, time: 0.317, data: 0.001) D_A: 0.252 G_A: 0.013 cycle_A: 0.021 idt_A: 0.000 D_B: 0.008 G_B: 0.283 cycle_B: 1.218 idt_B: 0.000 
(epoch: 203, iters: 224, time: 0.068, data: 30.059) D_A: 0.255 G_A: 0.006 cycle_A: 0.014 idt_A: 0.000 D_B: 0.008 G_B: 0.276 cycle_B: 1.204 idt_B: 0.000 
